Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,EmailAddress,TelephoneNumber,Birthday,CCType,DollarsSpent,WebVisits
1,female,Melissa,J,Palmer,4 Lynch Street,Milwaukee,WI,53213,US,Melissa.J.Palmer@gmail.com,920-959-8247,9/29/1972,Visa,281.84,5
2,male,Edwin,M,Corder,4302 Pick Street,RIDGEWAY,CO,81432,US,Edwin.M.Corder@outlook.com,970-626-1897,2/28/1953,Visa,277.58,16
3,female,Laura,A,Olvera,365 Tori Lane,Salt Lake City,UT,84116,US,Laura.A.Olvera@yahoo.com,801-599-5964,4/11/1963,MasterCard,560.63,24
4,male,Wayne,D,Adams,3643 Nash Street,Chicago,IL,60605,US,Wayne.D.Adams@yahoo.com,312-948-6927,7/16/1957,Visa,320.11,3
5,female,Mari,R,Smith,3024 Atha Drive,Palmdale,CA,93550,US,Mari.R.Smith@gmail.com,661-574-4919,7/30/1973,MasterCard,798.58,28
6,male,Craig,H,Salazar,3929 Goosetown Drive,Hendersonville,NC,28792,US,Craig.H.Salazar@gmail.com,828-697-6697,1/15/1959,Visa,183.35,29
7,male,Henry,S,Clark,205 Charla Lane,Mesquite,TX,75150,US,Henry.S.Clark@gmail.com,972-686-5507,8/28/1962,Visa,650.58,27
8,male,Jerry,L,Littleton,1652 My Drive,Elmsford,NY,10523,US,Jerry.L.Littleton@gmail.com,347-219-4091,9/5/1975,MasterCard,525.73,8
9,female,Georgia,V,Allen,1226 Jefferson Street,Norfolk,VA,23510,US,Georgia.V.Allen@yahoo.com,757-774-4490,5/17/1952,Visa,910.39,6
10,male,Ted,A,Harding,2143 Lake Floyd Circle,HOCKESSIN,DE,19707,US,Ted.A.Harding@gmail.com,302-239-3674,7/12/1958,MasterCard,307.51,25
11,male,Jose,J,Houston,2639 Olive Street,Shelby,OH,44875,US,Jose.J.Houston@gmail.com,419-342-5793,4/23/1943,Visa,447.97,27
12,male,Curtis,T,Franks,1899 Lincoln Drive,HUMMELSTOWN,PA,17036,US,Curtis.T.Franks@gmail.com,717-583-4745,5/20/1945,Visa,386.34,18
13,female,Mary,B,Belz,935 Hickory Street,Salt Lake City,UT,84104,US,Mary.B.Belz@outlook.com,801-747-9503,3/19/1970,MasterCard,678.67,20
14,male,Andrew,D,Arnold,1271 Cherry Tree Drive,Jacksonville,FL,32216,US,Andrew.D.Arnold@outlook.com,904-279-3516,3/26/1980,MasterCard,726.67,23
15,male,Antonio,D,Madden,618 Freed Drive,French Camp,CA,95231,US,Antonio.D.Madden@yahoo.com,209-740-7771,3/11/1985,Visa,231.75,18
16,male,Arthur,L,Pullins,4690 Wayside Lane,El Sobrante,CA,94803,US,Arthur.L.Pullins@nsa.gov,510-262-3743,6/3/1974,Visa,551.93,7
17,female,Tracy,A,Malik,581 Pursglove Court,FallFIELD,OH,45501,US,Tracy.A.Malik@outlook.com,937-323-7049,8/11/1972,MasterCard,7.98,4
18,male,Richard,K,Smith,338 Java Lane,COLUMBIA,SC,29210,US,Richard.K.Smith@gmail.com,803-614-8746,12/25/1964,Visa,63.3,22
19,female,Terry,M,Joy,1056 Willow Greene Drive,MONTGOMERY,AL,36054,US,Terry.M.Joy@gmail.com,334-285-6998,11/29/1958,Visa,600.7,26
20,male,David,M,George,4500 Elliott Street,Nashua,NH,3060,US,David.M.George@yahoo.com,603-606-7726,12/27/1951,MasterCard,899.87,7
21,male,Hector,T,Smith,726 Todds Lane,San Antonio,TX,78212,US,Hector.T.Smith@outlook.com,210-445-0432,2/14/1963,Visa,927.6,6
22,female,Shelia,K,Marlowe,1763 Dale Avenue,TACOMA,WA,98423,US,Shelia.K.Marlowe@gmail.com,253-754-1934,2/19/1947,Visa,190.76,6
23,male,Gerald,K,Miller,1734 University Drive,Chicago,IL,60610,US,Gerald.K.Miller@gmail.com,312-712-1977,9/8/1943,MasterCard,868.7,29
24,male,Fernando,S,Williams,3850 Metz Lane,San Diego,CA,92121,US,Fernando.S.Williams@outlook.com,858-207-7876,4/24/1963,MasterCard,914.87,28
25,male,Harvey,R,Tucker,853 James Avenue,Wichita,KS,67202,US,Harvey.R.Tucker@yahoo.com,316-299-3256,7/7/1953,MasterCard,667.76,27
26,male,Jeff,A,Steele,2000 Red Dog Road,Matthews,NC,28105,US,Jeff.A.Steele@outlook.com,704-301-2133,7/12/1972,MasterCard,18.47,10
27,female,Dora,D,Hardy,4089 Edington Drive,Atlanta,GA,30328,US,Dora.D.Hardy@gmail.com,678-775-2763,7/17/1964,Visa,841.69,30
28,male,George,L,Wood,1994 Walton Street,West Valley City,UT,84119,US,George.L.Wood@gmail.com,801-405-7131,12/22/1974,MasterCard,707.17,2
29,female,Patty,D,Polster,3295 Hanover Street,Huntington,NY,11743,US,Patty.D.Polster@gmail.com,917-704-3615,11/2/1959,MasterCard,201.82,6
30,female,Nicole,J,Carrillo,2904 Trymore Road,KELLOGG,MN,55945,US,Nicole.J.Carrillo@outlook.com,507-767-3784,6/12/1950,Visa,358.15,27
31,male,Jason,C,Kucharski,3144 Gorby Lane,Jackson,MS,39211,US,Jason.C.Kucharski@yahoo.com,601-328-4206,4/25/1949,MasterCard,582.62,11
32,male,Jeffrey,S,Gillan,2139 Biddie Lane,BOWLING GREEN,VA,22427,US,Jeffrey.S.Gillan@outlook.com,804-633-1531,7/22/1977,Visa,289.97,22
33,male,Ernest,J,Butler,4291 West Fork Street,Shelby,MT,59474,US,Ernest.J.Butler@gmail.com,406-434-1196,2/24/1983,Visa,491.8,15
34,male,Gregory,C,Cohen,71 Sycamore Road,SUTHERLIN,OR,97479,US,Gregory.C.Cohen@gmail.com,541-459-6636,3/3/1979,Visa,211.4,13
35,female,Joann,G,Gomez,1878 Mercer Street,ELMWOOD,WI,54740,US,Joann.G.Gomez@gmail.com,715-639-6608,3/19/1971,Visa,280.13,5
36,male,Wayne,M,Kendricks,1617 Arthur Avenue,Pontiac,IL,61764,US,Wayne.M.Kendricks@gmail.com,815-842-8931,6/2/1959,MasterCard,355.3,18
37,male,Todd,J,Underwood,500 Broadcast Drive,CHANTILLY,VA,22021,US,Todd.J.Underwood@gmail.com,703-946-0487,5/29/1958,Visa,116.41,27
38,male,Glenn,S,Kelly,2912 Henery Street,Wichita,KS,67202,US,Glenn.S.Kelly@gmail.com,316-974-9450,10/24/1964,MasterCard,257.6,29
39,male,Mark,J,Stephens,3947 Half and Half Drive,Caruthers,CA,93609,US,Mark.J.Stephens@gmail.com,559-864-9517,2/4/1960,MasterCard,542.48,19
40,female,Eileen,M,Webb,3620 Marigold Lane,Opa Locka,FL,33056,US,Eileen.M.Webb@outlook.com,305-486-5393,10/22/1970,Visa,848.9,14
41,male,Bill,S,Ross,2485 Terry Lane,Orlando,FL,32801,US,Bill.S.Ross@gmail.com,321-281-1450,1/22/1944,MasterCard,393.2,15
42,female,Maricela,J,Walker,4204 River Road,COLORADO FallS,CO,80906,US,Maricela.J.Walker@gmail.com,719-538-7193,10/2/1949,MasterCard,629.6,22
43,male,Daniel,M,Morse,2724 School Street,Washington,DC,20036,US,Daniel.M.Morse@gmail.com,202-861-0595,6/19/1964,Visa,491.57,21
44,female,Terri,J,Brooks,3289 Hilltop Haven Drive,FRANKLIN BORO,NJ,7416,US,Terri.J.Brooks@gmail.com,973-823-7094,6/7/1948,Visa,415.37,30
45,male,William,R,Root,694 Trails End Road,Fort Lauderdale,FL,33301,US,William.R.Root@gmail.com,954-284-6168,9/5/1978,MasterCard,449.27,14
46,female,Jane,S,Chapman,1384 Jadewood Drive,Chicago,IL,60631,US,Jane.S.Chapman@outlook.com,224-388-5925,11/18/1948,MasterCard,132.52,20
47,male,Stanley,S,Phillips,3764 Johnson Street,GARNER,NC,27529,US,Stanley.S.Phillips@gmail.com,919-810-8964,7/24/1968,Visa,718.2,25
48,female,Linda,J,Dove,342 Badger Pond Lane,Tampa,FL,33634,US,Linda.J.Dove@yahoo.com,727-348-8049,7/3/1963,Visa,446.2,7
49,female,Mary,G,Roberts,262 Prospect Street,COLLINGSWOOD,NJ,8108,US,Mary.G.Roberts@gmail.com,856-619-2370,7/19/1956,MasterCard,42.79,20
50,male,John,A,Smith,2827 Crosswind Drive,Hopkinsville,KY,42240,US,John.A.Smith@gmail.com,270-881-7850,5/10/1976,Visa,286.48,5
51,female,Cheryl,J,Wisdom,1999 Broadway Street,Charleston,SC,29412,US,Cheryl.J.Wisdom@gmail.com,843-795-4511,6/21/1953,Visa,193.44,1
52,male,Tony,J,Mobley,948 George Street,Ocala,FL,34471,US,Tony.J.Mobley@gmail.com,352-484-2867,8/10/1974,MasterCard,439.97,26
53,male,Arthur,R,Lyons,1245 Cambridge Court,FallDALE,AR,72764,US,Arthur.R.Lyons@gmail.com,479-790-6427,3/16/1956,MasterCard,747.79,25
54,male,Levi,R,Kelson,4904 Cambridge Place,OCEAN CITY,MD,21842,US,Levi.R.Kelson@gmail.com,410-524-3369,6/2/1966,Visa,636.57,9
55,male,Richard,V,Young,4403 Hilltop Street,CHICOPEE,MA,1013,US,Richard.V.Young@gmail.com,413-598-9401,5/18/1941,MasterCard,613.83,17
56,male,Jack,E,Roger,4804 Carolyns Circle,Arlington,TX,76011,US,Jack.E.Roger@gmail.com,214-766-6876,4/12/1950,MasterCard,140.89,15
57,female,Julie,G,Green,2698 Oakmound Road,Chicago,IL,60606,US,Julie.G.Green@gmail.com,773-269-7960,8/12/1950,Visa,181.38,1
58,female,Joanne,J,Pastrana,3799 Irving Place,O Fallon,MO,63366,US,Joanne.J.Pastrana@gmail.com,636-251-9215,7/3/1956,MasterCard,782.39,7
59,male,Danny,M,Gilmore,2104 Archwood Avenue,GREEN RIVER,WY,82935,US,Danny.M.Gilmore@gmail.com,307-872-9781,3/17/1951,Visa,670.62,9
60,male,Robert,K,Trimble,4002 Hanover Street,Brooklyn,NY,11206,US,Robert.K.Trimble@gmail.com,917-643-6185,10/18/1980,Visa,255.16,25
61,female,Ashley,R,Rodriguez,4283 Sardis Sta,Fort Worth,TX,76134,US,Ashley.R.Rodriguez@gmail.com,817-615-0302,4/9/1945,MasterCard,255.43,27
62,female,Sarah,B,Brown,15 Pratt Avenue,BELLINGHAM,WA,98225,US,Sarah.B.Brown@gmail.com,360-929-6521,6/1/1953,MasterCard,188.47,7
63,female,Nichole,H,Palmer,3437 D Street,Southfield,MI,48075,US,Nichole.H.Palmer@gmail.com,586-518-8219,4/13/1956,MasterCard,554.94,3
64,female,Jeanette,J,Givens,4101 Lucky Duck Drive,PENN HILLS,PA,15235,US,Jeanette.J.Givens@gmail.com,412-795-8962,4/27/1957,Visa,438.1,5
65,female,Della,M,Morgan,3077 Clover Drive,Colorado Falls,CO,80918,US,Della.M.Morgan@gmail.com,719-266-2271,9/4/1942,MasterCard,374.17,7
66,female,Amber,G,Shea,4211 Freed Drive,Stockton,CA,95204,US,Amber.G.Shea@gmail.com,209-720-7315,8/5/1979,Visa,65.35,10
67,female,Luz,T,Eddins,494 Rodney Street,Saint Louis,MO,63101,US,Luz.T.Eddins@gmail.com,636-524-4343,5/30/1973,MasterCard,188.53,10
68,male,Stanley,L,Harris,3558 Fowler Avenue,LAWRENCEVILLE,GA,30245,US,Stanley.L.Harris@yahoo.com,770-237-2545,4/5/1959,MasterCard,775.12,22
69,female,Patricia,J,Coen,1993 Rowes Lane,Owensboro,KY,42301,US,Patricia.J.Coen@outlook.com,270-577-6797,5/27/1943,MasterCard,207.52,17
70,male,Justin,N,Kline,1119 Sundown Lane,Austin,TX,78748,US,Justin.N.Kline@gmail.com,512-291-3179,1/8/1971,Visa,829.15,15
71,male,Graig,D,Crowley,3053 Still Street,SCOTT,OH,12345,US,Graig.D.Crowley@yahoo.com,419-622-6637,12/13/1974,Visa,616.92,13
72,female,Donna,N,Mitchell,831 Margaret Street,Houston,TX,77092,US,Donna.N.Mitchell@outlook.com,713-956-3379,8/19/1983,Visa,748.82,2
73,female,Florence,D,Stepp,1873 Melrose Street,CHEWELAH,WA,99109,US,Florence.D.Stepp@yahoo.com,509-936-7451,7/31/1970,Visa,290.49,20
74,female,Lidia,R,Lowery,289 Joes Road,Albany,NY,12207,US,Lidia.R.Lowery@gmail.com,518-670-1715,7/12/1948,Visa,356.65,4
75,female,Lisa,E,Fountain,4875 Eva Pearl Street,TUNICA,LA,70782,US,Lisa.E.Fountain@gmail.com,225-655-2724,8/10/1953,Visa,921.52,5
76,female,Marquita,C,Jackson,3445 Cambridge Drive,LITCHFIELD PARK,AZ,85340,US,Marquita.C.Jackson@outlook.com,623-856-1263,5/23/1943,Visa,880.74,18
77,male,Steve,J,Moore,1750 O Conner Street,Biloxi,MS,39531,US,Steve.J.Moore@yahoo.com,228-656-1478,12/18/1963,MasterCard,44.1,29
78,female,Fannie,N,Thomas,1628 Candlelight Drive,Humble,TX,77338,US,Fannie.N.Thomas@gmail.com,281-446-2778,9/20/1946,MasterCard,160.1,3
79,male,Kenneth,P,Ashmore,94 Clay Street,Indianapolis,IN,46278,US,Kenneth.P.Ashmore@gmail.com,317-366-6202,5/12/1956,MasterCard,176.37,6
80,female,Jessica,C,Mauro,2586 Jenna Lane,Lebanon,OH,45036,US,Jessica.C.Mauro@outlook.com,513-933-5366,3/4/1947,Visa,614.14,16
81,male,Joseph,T,Kirby,4838 Wyatt Street,BOCA RATON,FL,33434,US,Joseph.T.Kirby@gmail.com,561-451-0399,11/24/1962,MasterCard,147.39,3
82,male,Andrew,D,Pulaski,322 Ingram Street,MARSHALL,OH,45133,US,Andrew.D.Pulaski@gmail.com,937-466-1930,3/3/1973,MasterCard,587.53,1
83,male,Andrew,C,Frazier,802 Front Street,Bloomfield Township,MI,48302,US,Andrew.C.Frazier@gmail.com,810-407-2142,11/16/1953,MasterCard,316.18,2
84,male,Marc,R,Tracey,4521 Scenicview Drive,Midland,TX,79701,US,Marc.R.Tracey@gmail.com,432-201-2278,3/5/1975,MasterCard,291.96,5
85,male,Gary,R,Nixon,3021 Massachusetts Avenue,Washington,DC,20024,US,Gary.R.Nixon@gmail.com,202-825-5372,10/22/1984,MasterCard,753.66,26
86,female,Carolyn,C,Burdick,1745 Jim Rosa Lane,Tiburon,CA,94920,US,Carolyn.C.Burdick@gmail.com,415-789-7361,10/17/1944,MasterCard,731.37,24
87,female,Gale,R,Eades,2683 Armbrester Drive,Torrance,CA,90501,US,Gale.R.Eades@gmail.com,310-533-1288,9/24/1964,Visa,407.78,8
88,female,Linda,W,Smiley,4323 Holden Street,San Diego,CA,92103,US,Linda.W.Smiley@gmail.com,619-296-0035,8/25/1984,MasterCard,249.21,14
89,male,Richard,K,Gray,2015 Margaret Street,Houston,TX,77026,US,Richard.K.Gray@yahoo.com,713-850-3482,12/8/1977,Visa,406.28,14
90,female,Karen,R,Dantzler,2573 Sycamore Road,Sheridan,OR,97378,US,Karen.R.Dantzler@gmail.com,541-364-3120,5/1/1945,MasterCard,722.2,16
91,male,James,C,Richardson,500 Yorkshire Circle,Greenville,NC,27834,US,James.C.Richardson@gmail.com,252-275-8319,12/20/1959,MasterCard,38.29,30
92,female,Kim,C,Perry,4975 Public Works Drive,Johnson City,TN,37601,US,Kim.C.Perry@yahoo.com,423-342-6823,7/10/1946,Visa,136.55,9
93,male,Frank,T,Stafford,2177 Wood Duck Drive,TRENARY,MI,49891,US,Frank.T.Stafford@outlook.com,906-446-1307,7/13/1958,Visa,166.17,9
94,female,Margaret,J,Hinds,3936 Devils Hill Road,MAGEE,MS,39111,US,Margaret.J.Hinds@outlook.com,601-867-9354,8/22/1973,MasterCard,418.24,25
95,female,Irma,R,Harris,4015 American Drive,MADISON,FL,32340,US,Irma.R.Harris@outlook.com,850-973-5589,4/22/1983,MasterCard,284.61,19
96,female,Pamela,G,Joiner,2467 Flanigan Oaks Drive,Savage,MD,20763,US,Pamela.G.Joiner@gmail.com,301-308-7968,5/22/1940,Visa,989.65,12
97,female,Debbie,L,Anderson,186 Five Points,Baltimore,MD,21202,US,Debbie.L.Anderson@gmail.com,443-217-7277,9/9/1966,MasterCard,510.68,6
98,female,Keisha,K,Moss,1263 Heavens Way,Tampa,FL,33607,US,Keisha.K.Moss@gmail.com,941-886-4150,5/3/1959,MasterCard,533.72,1
99,female,Evelyn,R,Morris,50 Fieldcrest Road,New York,NY,10011,US,Evelyn.R.Morris@gmail.com,631-930-8143,8/23/1943,Visa,674.41,16
100,female,Brenda,A,Durst,2638 Mesa Drive,Las Vegas,NV,89101,US,Brenda.A.Durst@gmail.com,702-326-8550,12/4/1979,MasterCard,618.92,19
101,female,Ethel,M,Quesada,1370 Smith Street,SHREWSBURY,MA,1545,US,Ethel.M.Quesada@gmail.com,508-842-3928,11/30/1976,Visa,137.5,9
102,female,Linda,S,Miller,298 River Road,FallFIELD,CO,81073,US,Linda.S.Miller@gmail.com,719-563-8219,12/6/1946,Visa,906.49,11
103,male,John,A,Flanigan,1778 Green Hill Road,Mena,AR,71953,US,John.A.Flanigan@gmail.com,479-437-1741,7/25/1978,MasterCard,184.29,17
104,female,Sylvia,W,Gonzalez,2252 Westwood Avenue,Levittown,NY,11756,US,Sylvia.W.Gonzalez@outlook.com,516-839-0025,12/16/1967,MasterCard,651.75,5
105,female,Megan,R,Bottoms,3579 Emerson Road,Monroe,LA,71201,US,Megan.R.Bottoms@outlook.com,318-816-3413,4/2/1955,MasterCard,862.64,1
106,male,Clinton,A,Johnson,1054 Lowndes Hill Park Road,Los Angeles,CA,90014,US,Clinton.A.Johnson@gmail.com,661-367-8431,9/19/1975,Visa,858.91,25
107,male,Craig,M,Parvin,3871 Briarhill Lane,Akron,OH,44308,US,Craig.M.Parvin@yahoo.com,330-238-8342,3/4/1973,MasterCard,479.87,25
108,male,William,M,Minton,3954 Turkey Pen Lane,MONTGOMERY,AL,36117,US,William.M.Minton@gmail.com,334-449-3123,4/10/1949,MasterCard,780.46,20
109,male,Michael,S,Balducci,528 Hannah Street,Hickory,NC,28601,US,Michael.S.Balducci@gmail.com,828-324-1183,8/24/1985,MasterCard,298.53,20
110,female,Brianna,N,Bright,1484 Brown Avenue,Harriman,TN,37748,US,Brianna.N.Bright@gmail.com,865-224-2456,1/11/1943,Visa,627.38,19
